Any,zona,dat,via,pk,nomMun,nomCom,nomDem,F_MORTS,F_FERITS_GREUS,F_FERITS_LLEUS,F_VICTIMES,F_UNITATS_IMPLICADES,F_VIANANTS_IMPLICADES,F_BICICLETES_IMPLICADES,F_CICLOMOTORS_IMPLICADES,F_MOTOCICLETES_IMPLICADES,F_VEH_LLEUGERS_IMPLICADES,F_VEH_PESANTS_IMPLICADES,F_ALTRES_UNIT_IMPLICADES,F_UNIT_DESC_IMPLICADES,C_VELOCITAT_VIA,D_ACC_AMB_FUGA,D_BOIRA,D_CARACT_ENTORN,D_CARRIL_ESPECIAL,D_CIRCULACIO_MESURES_ESP,D_CLIMATOLOGIA,D_FUNC_ESP_VIA,D_GRAVETAT,D_INFLUIT_BOIRA,D_INFLUIT_CARACT_ENTORN,D_INFLUIT_CIRCULACIO,D_INFLUIT_ESTAT_CLIMA,D_INFLUIT_INTEN_VENT,D_INFLUIT_LLUMINOSITAT,D_INFLUIT_MESU_ESP,D_INFLUIT_OBJ_CALCADA,D_INFLUIT_SOLCS_RASES,D_INFLUIT_VISIBILITAT,D_INTER_SECCIO,D_LIMIT_VELOCITAT,D_LLUMINOSITAT,D_REGULACIO_PRIORITAT,D_SENTITS_VIA,D_SUBTIPUS_ACCIDENT,D_SUBTIPUS_TRAM,D_SUBZONA,D_SUPERFICIE,D_TIPUS_VIA,D_TITULARITAT_VIA,D_TRACAT_ALTIMETRIC,D_VENT,grupDiaLab,hor,grupHor,tipAcc,tipDia
2014,Carretera,08/07/2014,C-13,1403,LLAVORSI,Pallars Sobira,Lleida,1,0,1,2,2,0,0,0,1,1,0,0,0,100,No,No n'hi ha,Mixt,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident mortal,No,No,No,No,No,No,No,No,No,No,En secció,Genérica via,"De dia, dia clar",NA,Doble sentit,Col·lisió frontal,NA,Carretera,Sec i net,Carretera convencional,Autonòmica,Pla,"Calma, vent molt suau",Feiners,1434,Tarda,Col.lisió de vehicles en marxa,dill-dij
2014,Carretera,03/04/2014,N-II,684,TORDERA,Maresme,Barcelona,1,1,1,3,2,0,0,0,0,2,0,0,0,100,No,No n'hi ha,Sense Especificar,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident mortal,No,No,No,No,No,No,No,No,No,No,En secció,Genérica via,"De dia, dia clar",NA,NA,Envestida (frontal lateral),NA,Carretera,Sec i net,Carretera convencional,NA,NA,"Calma, vent molt suau",Feiners,1455,Tarda,Col.lisió de vehicles en marxa,dill-dij
2014,Carretera,28/10/2014,BV-2421,28,"PALMA DE CERVELLO, LA",Baix Llobregat,Barcelona,0,1,0,1,2,0,0,0,1,1,0,0,0,40,No,No n'hi ha,A nivell,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,Si,En secció,Senyal velocitat,"De dia, dia clar",NA,Doble sentit,Col·lisió frontal,NA,Carretera,Sec i net,Carretera convencional,Autonòmica,Rampa o pendent,"Calma, vent molt suau",Feiners,913,Matí,Col.lisió de vehicles en marxa,dill-dij
2014,Zona urbana,18/01/2014,SE,999999,BARCELONA,Barcelones,Barcelona,0,1,0,1,2,0,0,0,1,1,0,0,0,100,No,No n'hi ha,Sense Especificar,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,No,Dintre intersecció,Genérica via,"De dia, dia clar",Semàfor,Doble sentit,Envestida (frontal lateral),Encreuament o intersecció en X o +,Zona urbana,Mullat,Via urbana( inclou carrer i carrer residencial),NA,NA,"Calma, vent molt suau",CapDeSetmana,1305,Matí,Col.lisió de vehicles en marxa,dis
2014,Carretera,09/01/2014,C-25,1304,MANRESA,Bages,Barcelona,0,1,0,1,1,0,0,0,0,1,0,0,0,100,No,No n'hi ha,A nivell,Carril d'alentiment,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,Si,No,No,No,No,Dintre intersecció,Genérica via,"De nit, sense llum artificial",NA,Doble sentit,Xoc contra objecte/obstacle sense sortida prèvia de via,Enllaç d'entrada o eixida,Carretera,Sec i net,Carretera convencional,Autonòmica,Rampa o pendent,"Calma, vent molt suau",Feiners,211,Tarda,Col.lisió d'un vehicle contra un obstacle de la calcada,dill-dij
2014,Zona urbana,15/10/2014,SE,999999,BARCELONA,Barcelones,Barcelona,0,1,0,1,2,1,0,0,0,1,0,0,0,100,No,No n'hi ha,Sense Especificar,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,Si,No,No,No,No,No,No,Si,En secció,Genérica via,"De nit, il·luminació artificial suficient",NA,Un sol sentit,Atropellament,NA,Zona urbana,Sec i net,Via urbana( inclou carrer i carrer residencial),NA,NA,"Calma, vent molt suau",Feiners,2245,Nit,Atropellament,dill-dij
2014,Carretera,21/01/2014,C-31,2158,MONTGAT,Maresme,Barcelona,0,1,0,1,3,0,0,0,1,2,0,0,0,100,No,No n'hi ha,Mixt,No n'hi ha,Accident trànsit anterior,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,Si,No,No,No,En secció,Genérica via,"De nit, il·luminació artificial suficient",NA,Doble sentit,Encalç,NA,Carretera,Sec i net,Autovia,Provincial,Pla,"Calma, vent molt suau",Feiners,212,Tarda,Col.lisió de vehicles en marxa,dill-dij
2014,Carretera,29/01/2014,AP-7,605,SANT GREGORI,Girones,Girona,0,1,3,4,3,0,0,0,0,3,0,0,0,999,No,No n'hi ha,Sense Especificar,NA,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,No,En secció,Genérica via,"De dia, dia clar",NA,NA,Encalç,NA,Carretera,Sec i net,Autopista,Altres,Sense especificar,"Calma, vent molt suau",Feiners,2218,Nit,Col.lisió de vehicles en marxa,dill-dij
2014,Carretera,16/05/2014,C-31,1725,SITGES,Garraf,Barcelona,0,1,0,1,2,0,0,0,2,0,0,0,0,999,No,No n'hi ha,Sense Especificar,NA,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,No,En secció,Genérica via,"De dia, dia clar",NA,NA,Col·lisió frontal,NA,Carretera,Sec i net,Carretera convencional,Altres,Sense especificar,"Calma, vent molt suau",Feiners,11,Matí,Col.lisió de vehicles en marxa,div
2014,Zona urbana,23/10/2014,SE,999999,BANYOLES,Pla de l'Estany,Girona,0,1,0,1,2,0,1,0,0,0,1,0,0,NA,No,No n'hi ha,A nivell,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident greu,Sense especificar,No,No,No,Sense especificar,No,No,No,No,Sense especificar,En secció,Genérica via,"De dia, dia clar",NA,Doble sentit,Encalç,NA,Zona urbana,Sec i net,Via urbana( inclou carrer i carrer residencial),NA,Sense especificar,"Calma, vent molt suau",Feiners,1645,Tarda,Col.lisió de vehicles en marxa,dill-dij
